yyyymm,tasmin
200807,14.794525
200808,15.089899
200809,12.749241
200810,4.6548796
200811,-1.7823434
200812,-0.50056076
200901,-4.9110026
200902,-4.262308
200903,1.2783086
200904,4.361396
200905,11.176223
200906,14.774356
200907,14.635454
200908,15.962102
200909,13.710455
200910,6.107178
200911,2.126681
200912,-3.5902479
